token,valid,num_proposals,selected_idx,oracle_idx,selected_score,oracle_score,ranking_regret,hit_at_1,hit_at_5,selected_predicted_score,oracle_predicted_score,selected_no_at_fault_collisions,oracle_no_at_fault_collisions,selected_drivable_area_compliance,oracle_drivable_area_compliance,selected_ego_progress,oracle_ego_progress,selected_time_to_collision_within_bound,oracle_time_to_collision_within_bound,selected_comfort,oracle_comfort,selected_driving_direction_compliance,oracle_driving_direction_compliance
7da6ba784b8b5ff0,True,64,56,44,0.8340803663943976,1.0,0.16591963360560236,False,False,2.1059377193450928,1.132615089416504,1.0,1.0,1.0,1.0,0.6017928793465541,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ce28bbe99d7f5f43,True,64,56,2,0.8783289538333795,1.0,0.1216710461666205,False,False,2.0367350578308105,1.4339709281921387,1.0,1.0,1.0,1.0,0.7079894892001108,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1198cf572c315f9c,True,64,56,1,0.89130787920177,1.0,0.10869212079822999,False,False,2.1489152908325195,1.5670408010482788,1.0,1.0,1.0,1.0,0.7391389100842483,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bc88b69c56ec5a0f,True,64,17,0,0.9860284817052459,1.0,0.01397151829475407,False,False,2.1864428520202637,1.9076263904571533,1.0,1.0,1.0,1.0,0.9664683560925902,1.0,1.0,1.0,1.0,1.0,1.0,1.0
deb455f53c805643,True,64,17,52,0.8455669324193543,0.9799481581780776,0.13438122575872324,False,False,2.194206476211548,0.7724546194076538,1.0,1.0,1.0,1.0,0.6293606378064504,0.9518755796273862,1.0,1.0,1.0,1.0,1.0,0.0
3b1e0182cb145b8d,True,64,17,38,0.8519748256683233,1.0,0.14802517433167672,False,False,2.1697402000427246,1.3197355270385742,1.0,1.0,1.0,1.0,0.644739581603976,1.0,1.0,1.0,1.0,1.0,1.0,0.0
25d6781d5063561a,True,64,3,5,0.9765340173923692,1.0,0.023465982607630775,False,False,2.3104312419891357,1.8785640001296997,1.0,1.0,1.0,1.0,0.943681641741686,1.0,1.0,1.0,1.0,1.0,0.5,0.0
7755fb23f28f5b2f,True,64,3,34,0.9853231352510393,1.0,0.014676864748960683,False,False,2.3338239192962646,2.270455837249756,1.0,1.0,1.0,1.0,0.964775524602494,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52a862ac6c845dbb,True,64,63,15,0.9424380979778472,1.0,0.05756190202215283,False,False,2.414968967437744,2.315484046936035,1.0,1.0,1.0,1.0,0.861851435146833,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0beacadfbc4553ea,True,64,22,13,0.990658397393878,1.0,0.009341602606122046,False,False,2.44197940826416,2.43054461479187,1.0,1.0,1.0,1.0,0.9775801537453072,1.0,1.0,1.0,1.0,1.0,1.0,1.0
