token,baseline_name,variant_name,baseline_selected_score,baseline_selected_no_at_fault_collisions,baseline_selected_drivable_area_compliance,baseline_selected_ego_progress,baseline_selected_time_to_collision_within_bound,baseline_selected_comfort,baseline_selected_driving_direction_compliance,baseline_oracle_score,baseline_ranking_regret,variant_selected_score,variant_selected_no_at_fault_collisions,variant_selected_drivable_area_compliance,variant_selected_ego_progress,variant_selected_time_to_collision_within_bound,variant_selected_comfort,variant_selected_driving_direction_compliance,variant_oracle_score,variant_ranking_regret,delta_score,delta_selected_no_at_fault_collisions,delta_selected_drivable_area_compliance,delta_selected_ego_progress,delta_selected_time_to_collision_within_bound,delta_selected_comfort,delta_selected_driving_direction_compliance,delta_oracle_score,delta_ranking_regret,delta_ranking_ability
7da6ba784b8b5ff0,baseline,variant,0.8340803663943976,1.0,1.0,0.6017928793465541,1.0,1.0,1.0,1.0,0.1659196336056023,0.8367486519203062,1.0,1.0,0.608196764608735,1.0,1.0,1.0,1.0,0.1632513480796937,0.002668285525908587,0.0,0.0,0.006403885262180831,0.0,0.0,0.0,0.0,-0.0026682855259086147,0.0026682855259086147
ce28bbe99d7f5f43,baseline,variant,0.8783289538333795,1.0,1.0,0.7079894892001108,1.0,1.0,1.0,1.0,0.1216710461666205,0.8635930288814189,1.0,1.0,0.6726232693154054,1.0,1.0,1.0,1.0,0.1364069711185811,-0.014735924951960633,0.0,0.0,-0.03536621988470545,0.0,0.0,0.0,0.0,0.014735924951960605,-0.014735924951960605
1198cf572c315f9c,baseline,variant,0.89130787920177,1.0,1.0,0.7391389100842483,1.0,1.0,1.0,1.0,0.1086921207982299,0.9030741628603784,1.0,1.0,0.7673779908649079,1.0,1.0,1.0,1.0,0.0969258371396216,0.011766283658608434,0.0,0.0,0.02823908078065962,0.0,0.0,0.0,0.0,-0.011766283658608295,0.011766283658608295
bc88b69c56ec5a0f,baseline,variant,0.986028481705246,1.0,1.0,0.9664683560925902,1.0,1.0,1.0,1.0,0.013971518294754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.01397151829475396,0.0,0.0,0.033531643907409814,0.0,0.0,0.0,0.0,-0.013971518294754,0.013971518294754
deb455f53c805643,baseline,variant,0.8455669324193543,1.0,1.0,0.6293606378064504,1.0,1.0,1.0,0.9799481581780776,0.1343812257587232,0.8776422050890952,1.0,1.0,0.7063412922138285,1.0,1.0,1.0,1.0,0.1223577949109048,0.03207527266974086,0.0,0.0,0.07698065440737811,0.0,0.0,0.0,0.020051841821922434,-0.012023430847818387,0.012023430847818387
3b1e0182cb145b8d,baseline,variant,0.8519748256683233,1.0,1.0,0.644739581603976,1.0,1.0,1.0,1.0,0.1480251743316767,0.933908782994362,1.0,1.0,0.8413810791864688,1.0,1.0,1.0,1.0,0.066091217005638,0.0819339573260387,0.0,0.0,0.19664149758249272,0.0,0.0,0.0,0.0,-0.0819339573260387,0.0819339573260387
25d6781d5063561a,baseline,variant,0.9765340173923692,1.0,1.0,0.943681641741686,1.0,1.0,0.5,1.0,0.0234659826076307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.023465982607630775,0.0,0.0,0.056318358258313994,0.0,0.0,0.5,0.0,-0.0234659826076307,0.0234659826076307
7755fb23f28f5b2f,baseline,variant,0.9853231352510392,1.0,1.0,0.964775524602494,1.0,1.0,1.0,1.0,0.0146768647489606,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.014676864748960794,0.0,0.0,0.03522447539750595,0.0,0.0,0.0,0.0,-0.0146768647489606,0.0146768647489606
52a862ac6c845dbb,baseline,variant,0.9424380979778472,1.0,1.0,0.861851435146833,1.0,1.0,1.0,1.0,0.0575619020221528,0.9498146531309294,1.0,1.0,0.8795551675142308,1.0,1.0,0.0,1.0,0.0501853468690706,0.00737655515308222,0.0,0.0,0.01770373236739775,0.0,0.0,-1.0,0.0,-0.0073765551530822,0.0073765551530822
0beacadfbc4553ea,baseline,variant,0.990658397393878,1.0,1.0,0.9775801537453072,1.0,1.0,1.0,1.0,0.009341602606122,0.984065632377599,1.0,1.0,0.961757517706238,1.0,1.0,0.0,1.0,0.0159343676224009,-0.006592765016278923,0.0,0.0,-0.015822636039069193,0.0,0.0,-1.0,0.0,0.006592765016278899,-0.006592765016278899
f985ec5a35285901,baseline,variant,0.9917329587811472,1.0,1.0,0.9801591010747532,1.0,1.0,1.0,1.0,0.0082670412188528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0082670412188528,0.0,0.0,0.019840898925246764,0.0,0.0,0.0,0.0,-0.0082670412188528,0.0082670412188528
c3ed0328b37b586b,baseline,variant,0.9792695577166906,1.0,1.0,0.9502469385200571,1.0,1.0,1.0,1.0,0.0207304422833094,0.9895523052460934,1.0,1.0,0.974925532590624,1.0,1.0,1.0,1.0,0.0104476947539066,0.010282747529402836,0.0,0.0,0.02467859407056683,0.0,0.0,0.0,0.0,-0.010282747529402798,0.010282747529402798
19d7afdb02055502,baseline,variant,0.9745364750464166,1.0,1.0,0.9388875401114002,1.0,1.0,1.0,1.0,0.0254635249535833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.025463524953583394,0.0,0.0,0.06111245988859981,0.0,0.0,0.0,0.0,-0.0254635249535833,0.0254635249535833
6a5c90faa1cc5f03,baseline,variant,0.9792376608669464,1.0,1.0,0.9501703860806716,1.0,1.0,1.0,1.0,0.0207623391330535,0.9676472795289188,1.0,1.0,0.9223534708694056,1.0,1.0,1.0,1.0,0.032352720471081,-0.011590381338027589,0.0,0.0,-0.027816915211266058,0.0,0.0,0.0,0.0,0.011590381338027502,-0.011590381338027502
df5915c3464e569e,baseline,variant,0.9815824822394724,1.0,1.0,0.955797957374734,1.0,1.0,1.0,1.0,0.0184175177605275,0.9700190592390326,1.0,1.0,0.9280457421736784,1.0,1.0,1.0,1.0,0.0299809407609673,-0.011563423000439776,0.0,0.0,-0.02775221520105564,0.0,0.0,0.0,0.0,0.0115634230004398,-0.0115634230004398
f154d2accd365815,baseline,variant,0.970809979011151,1.0,1.0,0.9299439496267626,1.0,1.0,1.0,1.0,0.029190020988849,0.9872404247382506,1.0,1.0,0.9693770193718012,1.0,1.0,1.0,1.0,0.0127595752617494,0.01643044572709962,0.0,0.0,0.039433069745038574,0.0,0.0,0.0,0.0,-0.016430445727099598,0.016430445727099598
bc8d49758c6b5612,baseline,variant,0.9559019496452152,1.0,1.0,0.8941646791485165,1.0,1.0,1.0,0.9559019496452152,0.0,0.9792406130713276,1.0,1.0,0.950177471371186,1.0,1.0,1.0,1.0,0.0207593869286725,0.02333866342611235,0.0,0.0,0.05601279222266953,0.0,0.0,0.0,0.04409805035478476,0.0207593869286725,-0.0207593869286725
1b963a72d0cf5320,baseline,variant,0.9246766630969692,1.0,1.0,0.8192239914327261,1.0,1.0,1.0,0.9780820426604934,0.0534053795635242,0.9072073834354232,1.0,1.0,0.7772977202450153,1.0,1.0,1.0,1.0,0.0927926165645769,-0.01746927966154599,0.0,0.0,-0.04192627118771075,0.0,0.0,0.0,0.021917957339506633,0.03938723700105269,-0.03938723700105269
08ca490a89c4544e,baseline,variant,0.9101178675188027,1.0,1.0,0.7842828820451268,1.0,1.0,1.0,0.9976802164708566,0.0875623489520538,0.9336626564831536,1.0,1.0,0.8407903755595689,1.0,1.0,1.0,1.0,0.0663373435168462,0.02354478896435086,0.0,0.0,0.056507493514442175,0.0,0.0,0.0,0.0023197835291434155,-0.021225005435207597,0.021225005435207597
ba13a6004a0c5f8d,baseline,variant,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9271501564301748,0.9271501564301748,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9271501564301748,-0.9271501564301748,0.9271501564301748
0d2e670274c65f81,baseline,variant,0.7810079984266397,1.0,1.0,0.4744191962239352,1.0,1.0,1.0,0.9727611866036168,0.1917531881769771,0.8500011843721209,1.0,1.0,0.64000284249309,1.0,1.0,1.0,0.9499877023731724,0.0999865180010516,0.0689931859454812,0.0,0.0,0.16558364626915484,0.0,0.0,0.0,-0.02277348423044434,-0.09176667017592549,0.09176667017592549
005fcf3e9a125706,baseline,variant,0.8236590501047919,1.0,1.0,0.5767817202515003,1.0,1.0,1.0,0.9895706899697037,0.1659116398649116,0.8559641349738133,1.0,1.0,0.6543139239371519,1.0,1.0,0.5,0.9607183634701508,0.1047542284963375,0.032305084869021394,0.0,0.0,0.07753220368565161,0.0,0.0,-0.5,-0.028852326499552827,-0.06115741136857408,0.06115741136857408
5fde0c8c8f4b5ecb,baseline,variant,0.8388636202789607,1.0,1.0,0.6132726886695056,1.0,1.0,0.5,0.9501157830197496,0.111252162740789,0.853574009774967,1.0,1.0,0.6485776234599206,1.0,1.0,0.0,0.9282562095405356,0.0746821997655686,0.014710389496006337,0.0,0.0,0.03530493479041508,0.0,0.0,-0.5,-0.02185957347921408,-0.0365699629752204,0.0365699629752204
66583dab627951a2,baseline,variant,0.835473748456601,1.0,1.0,0.6051369962958425,1.0,1.0,1.0,1.0,0.1645262515433989,0.8296248602851849,1.0,1.0,0.5910996646844436,1.0,1.0,0.5,0.9973378979090012,0.1677130376238164,-0.005848888171416156,0.0,0.0,-0.014037331611398862,0.0,0.0,-0.5,-0.002662102090998819,0.003186786080417503,-0.003186786080417503
63980d0b4c9352c4,baseline,variant,0.846518110236957,1.0,1.0,0.6316434645686968,1.0,1.0,1.0,1.0,0.153481889763043,0.8463232683474624,1.0,1.0,0.6311758440339097,1.0,1.0,1.0,1.0,0.1536767316525376,-0.00019484188949459025,0.0,0.0,-0.0004676205347871054,0.0,0.0,0.0,0.0,0.00019484188949459025,-0.00019484188949459025
a2c2e046132e5596,baseline,variant,0.8992298158272032,1.0,1.0,0.7581515579852877,1.0,1.0,1.0,1.0,0.1007701841727968,0.862994960492435,1.0,1.0,0.671187905181844,1.0,1.0,1.0,1.0,0.137005039507565,-0.03623485533476822,0.0,0.0,-0.08696365280344365,0.0,0.0,0.0,0.0,0.03623485533476821,-0.03623485533476821
6360aa4dd01151c3,baseline,variant,0.9087675570354132,1.0,1.0,0.7810421368849919,1.0,1.0,0.5,1.0,0.0912324429645866,0.8734073861450241,1.0,1.0,0.696177726748058,1.0,1.0,1.0,1.0,0.1265926138549759,-0.03536017089038912,0.0,0.0,-0.08486441013693391,0.0,0.0,0.5,0.0,0.035360170890389286,-0.035360170890389286
9c2063a3e137542a,baseline,variant,0.9162454536820562,1.0,1.0,0.798989088836935,1.0,1.0,1.0,1.0,0.0837545463179437,0.8746027235316748,1.0,1.0,0.6990465364760194,1.0,1.0,0.5,1.0,0.1253972764683252,-0.041642730150381446,0.0,0.0,-0.09994255236091554,0.0,0.0,-0.5,0.0,0.04164273015038149,-0.04164273015038149
b113e988ede45a4f,baseline,variant,0.950004287115079,1.0,1.0,0.8800102890761896,1.0,1.0,1.0,1.0,0.0499957128849209,0.9133571141013213,1.0,1.0,0.7920570738431709,1.0,1.0,1.0,1.0,0.0866428858986787,-0.03664717301375775,0.0,0.0,-0.08795321523301869,0.0,0.0,0.0,0.0,0.036647173013757806,-0.036647173013757806
da83e9a4e38a5d6e,baseline,variant,0.954416354719121,1.0,1.0,0.8905992513258906,1.0,1.0,1.0,1.0,0.0455836452808789,0.9486851945042084,1.0,1.0,0.8768444668101002,1.0,1.0,1.0,1.0,0.0513148054957914,-0.005731160214912601,0.0,0.0,-0.013754784515790375,0.0,0.0,0.0,0.0,0.0057311602149124966,-0.0057311602149124966
28123c233d33567e,baseline,variant,0.9650129455836616,1.0,1.0,0.9160310694007878,1.0,1.0,1.0,1.0,0.0349870544163385,0.9478728623253408,1.0,1.0,0.8748948695808181,1.0,1.0,1.0,1.0,0.0521271376746591,-0.017140083258320726,0.0,0.0,-0.04113619981996974,0.0,0.0,0.0,0.0,0.0171400832583206,-0.0171400832583206
